Year,University,Country,City,Latitude,Longitude
1180,University of Bologna,Italy,Bologna,44.494888,11.342616
1200,University of Oxford,United Kingdom,Oxford,51.752022,-1.257726
1209,University of Cambridge,United Kingdom,Cambridge,52.205338,0.121817
1218,University of Salamanca,Spain,Salamanca,40.970104,-5.66354
1222,University of Padua,Italy,Padua,45.406433,11.876761
1224,University of Naples Federico II,Italy,Naples,40.853294,14.305573
1290,University of Coimbra,Portugal,Coimbra,40.203316,-8.410257
1293,University of Valladolid,Spain,Valladolid,41.652252,-4.724532
1308,University of Perugia,Italy,Perugia,43.110718,12.390828
1347,Charles University,Czech Republic,Prague,50.0833,14.4167
1357,University of Siena,Italy,Siena,43.3183,11.3314
1365,University of Vienna,Austria,Vienna,48.2083,16.3731
1385,Ruprecht Karl University of Heidelberg,Germany,Heidelberg,49.4122,8.71
1397,Jagiellonian University,Poland,KrakÃ³w,50.0614,19.9372
1400,University of Pisa,Italy,Pisa,43.7167,10.4
1404,University of Turin,Italy,Turin,45.0667,7.7
1409,University of Leipzig,Germany,Leipzig,51.3333,12.3833
1419,University of Rostock,Germany,Rostock,54.0833,12.1333
1430,University of Ferrara,Italy,Ferrara,44.8353,11.6199
1431,Sapienza University of Rome,Italy,Rome,41.8931,12.4828
1444,University of Catania,Italy,Catania,37.5027,15.0873
1450,University of Barcelona,Spain,Barcelona,41.3825,2.1769
1451,University of Glasgow,United Kingdom,Glasgow,55.8609,-4.2514
1456,University of Greifswald,Germany,Greifswald,54.0833,13.3833
1457,Albert Ludwigs University of Freiburg,Germany,Freiburg im Breisgau,47.9947,7.8497
1459,University of Basel,Switzerland,Basel,47.5606,7.5906
1459,Ludwig Maximilian University of Munich,Germany,Munich,48.1372,11.5755
1475,University of Copenhagen,Denmark,Copenhagen,55.6761,12.5689
1476,Eberhard Karls University of TÃ¼bingen,Germany,TÃ¼bingen,48.52,9.0556
1477,Uppsala University,Sweden,Uppsala,59.8498,17.6389
1495,University of Aberdeen,United Kingdom,Aberdeen,57.15,-2.11
1499,Complutense University of Madrid,Spain,Madrid,40.4167,-3.7167
